"key";"message";"language"
"Created on";"Дата создания";"ru"
"Created by";"ФИО оператора";"ru"
"Error";"Ошибка";"ru"
"Information";"Информация";"ru"
"Question";"Вопрос";"ru"
"Current changes will be lost. Do you really want to proceed?";"Текущие изменения будут потеряны. Вы действительно хотите продолжить?";"ru"
"Cancel";"Отмена";"ru"
"Alpha-3 code (ISO)";"Альфа-3";"ru"
"Alpha-2 code (ISO)";"Альфа-2";"ru"
"Numeric code (ISO)";"Код";"ru"
"Updated by";"Обновлено";"ru"
"Updated on";"Обновлено на";"ru"
"{0} of {1}";"{0} из {1}";"ru"
"{0} records exported.";"{0} экспортированные записи.";"ru"
"{0} task";"{0} задача";"ru"
"{0} tasks";"{0} задачи";"ru"
"{0} to {1} of {2}";"от {0} до {1} из {2}";"ru"
"Current password";"Текущий пароль";"ru"
"Please change your password.";"Пожалуйста, измените свой пароль.";"ru"
"Confirm new password";"Подтвердите новый пароль";"ru"
"user.password.pattern-title";"Требования к паролю";"ru"
"Specify whether to block the user for an indefinite period.";"Указание на блокировку пользователя на неопределенный срок.";"ru"
"Force the user to change their password at next login.";"Заставить пользователя изменить свой пароль при следующем входе в систему.";"ru"
"Block the user";"Заблокировать пользователя";"ru"
"Force password change";"Принудительная смена пароля";"ru"
"Visible";"Видимо";"ru"
"Hidden";"Скрыть";"ru"
"Collapse";"Свернуть";"ru"
"Sort Ascending";"Сортировать по возрастанию";"ru"
"Sort Descending";"Сортировать по убыванию";"ru"
"Group by";"Группа по";"ru"
"Ungroup";"Разгруппировать";"ru"
"Hide";"Скрывать";"ru"
"Downloading";"Загрузка";"ru"
"Access error";"Ошибка доступа";"ru"
"You are not authorized to read this resource.";"Вы не авторизованы для чтения этого ресурса.";"ru"
"load more";"загрузить больше";"ru"
"The record has been updated or delete by another action.";"Запись была обновлена или удалена";"ru"
"Mark as unread";"Отметить как непрочитанное";"ru"
"Move to archive";"Переместить в архив";"ru"
"Password must have at least 8 characters with at least three of these four types: lowercase, uppercase, digit, special.";"Пароль должен содержать не менее 8 символов и иметь как минимум три из четырех типов: строчные, прописные, цифры.";"ru"
"Do you really want to archive the selected record(s)?";"Вы действительно хотите заархивировать выбранные записи?";"ru"
"Do you really want to delete the selected record?";"Вы действительно хотите удалить выбранную запись?";"ru"
"Duplicate";"Дублировать";"ru"
"Last modified...";"Последнее изменение...";"ru"
"an hour";"час";"ru"
"Record created";"Запись создана";"ru"
"Record updated";"Запись обновлена";"ru"
"Do you really want to archive the selected record?";"Вы действительно хотите архивировать выбранную запись?";"ru"
"%s ago";"%s назад";"ru"
"%d minutes";"%d минут";"ru"
"%d days";"%d дней";"ru"
"%d hours";"%d часов";"ru"
"%d months";"%d месяцев";"ru"
"%d years";"%d лет";"ru"
"a few seconds";"несколько секунд";"ru"
"a minute";"минуту";"ru"
"a day";"один день";"ru"
"Favorites";"Избранное";"ru"
"Priority";"Приоритет";"ru"
"Do you really want to delete the selected record(s)?";"Вы действительно хотите удалить выбранную(ые) запись(и)?";"ru"
"Confirm";"Подтвердить";"ru"
"Archive";"Архив";"ru"
"Unarchive";"Разархивировать";"ru"
"Advanced Search";"Расширенный поиск";"ru"
"and";"и";"ru"
"or";"или";"ru"
"Show";"Показать";"ru"
"Show archived";"Показать архивные";"ru"
"Show Details";"Показать детали";"ru"
"Add filter";"Добавить фильтр";"ru"
"Clear";"Очистить";"ru"
"Export full";"Полный экспорт";"ru"
"Apply";"Применить";"ru"
"Share";"Поделиться";"ru"
"Save filter as";"Сохранить фильтр как";"ru"
"Edit";"Редактировать";"ru"
"The following fields are invalid:";"Следующие поля не заполнены:";"ru"
"Change";"Редактировать";"ru"
"Write your comment here";"Напишите ваш комментарий здесь";"ru"
"Mark as important";"Отметить как важное";"ru"
"Mark as read";"Отметить как прочитанное";"ru"
"updated document";"обновленный документ";"ru"
"Add to favorites...";"Добавить в избранное...";"ru"
"Organize favorites...";"Организовать избранное...";"ru"
"Inbox is empty!";"Ваш входящий ящик пуст!";"ru"
"Come back later. There are no messages in this folder...";"Вернитесь позже. В этой папке нет сообщений...";"ru"
"Inbox";"Входящие";"ru"
"Tasks due";"Срок выполнения задач";"ru"
"no tasks";"нет задач";"ru"
"Tasks todo";"Задачи на выполнение";"ru"
"Refresh";"Обновить";"ru"
"Close Others";"Закрыть остальные";"ru"
"Close All";"Закрыть все";"ru"
"Select";"Выбрать";"ru"
"Current changes will be lost. Do you really want to proceed?";"Текущие изменения будут потеряны. Вы действительно хотите продолжить?";"ru"
"Loading";"Загрузка";"ru"
"Log in";"Войти";"ru"
"Wrong username or password";"Неверное имя пользователя или пароль";"ru"
"User preferences";"Пользовательские настройки";"ru"
"Shortcuts";"Ярлыки";"ru"
"About";"О программе";"ru"
"Log out";"Выйти";"ru"
"Save";"Сохранить";"ru"
"Close";"Закрыть";"ru"
"Remember me";"Запомнить меня";"ru"
"Active company";"Действующая компания";"ru"
"Single tab";"Одна вкладка";"ru"
"Change password?";"Изменить пароль?";"ru"
"Context project";"Контекстный проект";"ru"
"Theme";"Тема";"ru"
"No help";"Нет помощи";"ru"
"Main calendar";"Основной календарь";"ru"
"Followed users";"Подписанные пользователи";"ru"
"Receive notifications by email";"Получайте уведомления по электронной почте";"ru"
"Entities you wish to follow by email";"Объекты, на которых вы хотите подписаться по электронной почте";"ru"
"Username";"Логин";"ru"
"Preferences";"Предпочтения";"ru"
"Search...";"Поиск...";"ru"
"New";"Новый";"ru"
"Remove";"Удалить";"ru"
"Last password update date";"Дата последнего обновления пароля";"ru"
"Search more...";"Искать далее...";"ru"
"equals";"равно";"ru"
"is empty";"пустые";"ru"
"is not empty";"не пустые";"ru"
"in range";"в диапазоне";"ru"
"not in range";"не в диапазоне";"ru"
"in the past";"в прошлом";"ru"
"in the next";"в будущем";"ru"
"in the current";"в настоящем";"ru"
"is current user";"текущий пользователь";"ru"
"not equal";"не равно";"ru"
"greater or equal";"больше или равно";"ru"
"less or equal";"меньше или равно";"ru"
"greater than";"больше чем";"ru"
"less than";"меньше чем";"ru"
"is null";"пустое поле";"ru"
"is not null";"заполненное поле";"ru"
"contains";"содержит";"ru"
"doesn't contain";"не содержит";"ru"
"in";"внутри";"ru"
"not in";"не внутри";"ru"
"Export";"Экспорт";"ru"
"Delete";"Удалить";"ru"
"Update";"Обновить";"ru"
"My Filters";"Мои фильтры";"ru"
"Archived";"Заархивированный";"ru"
"Mass Update";"Массовое обновление";"ru"
"Update all";"Обновить все";"ru"
"Add Field";"Добавить поле";"ru"
"Active Team";"Активная команда";"ru"
"Home action";"Домашнее действие";"ru"
"Language";"Язык";"ru"


"Administration";"Администрирование";"ru"
"User Management";"Управление пользователями";"ru"
"Model Management";"Управление моделями";"ru"
"View Management";"Управление видами";"ru"
"Help Management";"Помощь в управлении";"ru"
"Module Management";"Управление модулями";"ru"
"Job Management";"Управление заданиями";"ru"


"Application Config";"Конфигурация приложения";"ru"
"Apps management";"Управление приложениями";"ru"

"True";"Да";"ru"
"False";"Нет";"ru"

"Please wait...";"Пожалуйста, подождите немного";"ru"
"No records found.";"Данных нет";"ru"


"Booking already cancelled";"Бронирование уже отменено";"ru"
"Booking are allowed";"Бронирование разрешено";"ru"
"Booking cancelled successfully";"Бронирование успешно отменено";"ru"
"Booking date cannot be in the past";"Дата бронирования не может быть в прошлом";"ru"
"Booking date is required";"Дата бронирования обязательна";"ru"
"Booking not found";"Бронирование не найдено";"ru"
"Booking time is required";"Время бронирования обязательно";"ru"
"Booking with this number and code word was not found";"Бронирование с данным номером и кодовым словом не найдено";"ru"
"CCP id is required";"ID КПП обязателен";"ru"
"CCP not found for requisite:";"ПП не найдено по реквизиту";"ru"
"CCP not found:";"КПП не найдено:";"ru"
"Date parameter is required";"Параметр даты обязателен";"ru"
"Id and codeWord are required";"ID и кодовое слово обязательны";"ru"
"Invalid code word";"Неверное кодовое слово";"ru"
"Invalid date format, expected yyyy-MM-dd";"Неверный формат даты, ожидается yyyy-MM-dd";"ru"
"Invalid date format. Use dd.MM.yyyy";"Неверный формат даты. Используйте dd.MM.yyyy";"ru"
"Plate number is required for live queue";"Гос.номер обязателен для живой очереди";"ru"
"Requisite has no linked booking or registration";"К реквизиту бронирование не найдено";"ru"
"Requisite not found:";"Реквизит не найден:";"ru"
"This vehicle is located in the waiting area";"Этот АТС находится в зоне ожидания";"ru"
"Vehicle already in waiting zone cannot use timed queue booking";"Транспортное средство уже находится в зоне ожидания. Бронирование по времени недоступно";"ru"
"Vehicle must be physically present in the waiting zone to use live queue booking";"Транспортное средство должно физически находиться в зоне ожидания для использования живой очереди";"ru"
"You have already created a booking recently. Please wait.";"Вы уже недавно создали бронирование. Пожалуйста подождите.";"ru"
"plateNo and codeWord are required";"Гос.номер и кодовое слово обязательны";"ru"


"Booking already cancelled";"Брондоо буга чейин жокко чыгарылган";"kg"
"Booking are allowed";"Брондоого уруксат берилген";"kg"
"Booking cancelled successfully";"Брондоо ийгиликтүү жокко чыгарылды";"kg"
"Booking date cannot be in the past";"Брондоо датасы өткөн убакта болбошу керек";"kg"
"Booking date is required";"Брондоо датасы милдеттүү";"kg"
"Booking not found";"Брондоо табылган жок";"kg"
"Booking time is required";"Брондоо убактысы милдеттүү";"kg"
"Booking with this number and code word was not found";"Бул номер жана код сөзү менен брондоо табылган жок";"kg"
"CCP id is required";"КПП ID милдеттүү";"kg"
"CCP not found for requisite:";"Бул реквизит үчүн КПП табылган жок:";"kg"
"CCP not found:";"КПП табылган жок:";"kg"
"Date parameter is required";"Дата параметри милдеттүү";"kg"
"Id and codeWord are required";"ID жана код сөзү милдеттүү";"kg"
"Invalid code word";"Код сөзү туура эмес";"kg"
"Invalid date format, expected yyyy-MM-dd";"Датанын форматы туура эмес, күтүүдө yyyy-MM-dd";"kg"
"Invalid date format. Use dd.MM.yyyy";"Датанын форматы туура эмес. dd.MM.yyyy колдонуңуз";"kg"
"Plate number is required for live queue";"Жандуу кезек үчүн мамлекеттик номер милдеттүү";"kg"
"Requisite has no linked booking or registration";"Бул реквизитке байланышкан брондоо же каттоо табылган жок";"kg"
"Requisite not found:";"Реквизит табылган жок:";"kg"
"This vehicle is located in the waiting area";"Бул транспорт каражаты күтүү аймагында жайгашкан";"kg"
"Vehicle already in waiting zone cannot use timed queue booking";"Күтүү аймагында турган транспорт каражаты убакыт боюнча брондоону колдоно албайт";"kg"
"Vehicle must be physically present in the waiting zone to use live queue booking";"Жандуу кезекти колдонуу үчүн транспорт каражаты күтүү аймагында физикалык түрдө болушу керек";"kg"
"You have already created a booking recently. Please wait.";"Сиз жакында эле брондоо түзгөнсүз. Сураныч, күтө туруңуз.";"kg"
"plateNo and codeWord are required";"Мамлекеттик номер жана код сөзү милдеттүү";"kg"


"Booking already cancelled";"Bron qilish allaqachon bekor qilingan";"uzb"
"Booking are allowed";"Bron qilishga ruxsat berilgan";"uzb"
"Booking cancelled successfully";"Bron muvaffaqiyatli bekor qilindi";"uzb"
"Booking date cannot be in the past";"Bron sanasi o'tgan vaqt bo'lishi mumkin emas";"uzb"
"Booking date is required";"Bron sanasi majburiy";"uzb"
"Booking not found";"Bron topilmadi";"uzb"
"Booking time is required";"Bron vaqti majburiy";"uzb"
"Booking with this number and code word was not found";"Ushbu raqam va kod so'z bilan bron topilmadi";"uzb"
"CCP id is required";"KPP ID majburiy";"uzb"
"CCP not found for requisite:";"Ushbu rekvizit uchun KPP topilmadi:";"uzb"
"CCP not found:";"KPP topilmadi:";"uzb"
"Date parameter is required";"Sana parametri majburiy";"uzb"
"Id and codeWord are required";"ID va kod so'z majburiy";"uzb"
"Invalid code word";"Noto'g'ri kod so'z";"uzb"
"Invalid date format, expected yyyy-MM-dd";"Sana formati noto'g'ri, kutilmoqda yyyy-MM-dd";"uzb"
"Invalid date format. Use dd.MM.yyyy";"Sana formati noto'g'ri. dd.MM.yyyy dan foydalaning";"uzb"
"Plate number is required for live queue";"Jonli navbat uchun davlat raqami majburiy";"uzb"
"Requisite has no linked booking or registration";"Ushbu rekvizitga bog'langan bron yoki ro'yxatdan o'tish topilmadi";"uzb"
"Requisite not found:";"Rekvizit topilmadi:";"uzb"
"This vehicle is located in the waiting area";"Ushbu transport vositasi kutish hududida joylashgan";"uzb"
"Vehicle already in waiting zone cannot use timed queue booking";"Kutish hududidagi transport vositasi vaqt bo'yicha bron qilishdan foydalana olmaydi";"uzb"
"Vehicle must be physically present in the waiting zone to use live queue booking";"Jonli navbatdan foydalanish uchun transport vositasi kutish hududida jismonan mavjud bo'lishi kerak";"uzb"
"You have already created a booking recently. Please wait.";"Siz yaqinda bron yaratgansiz. Iltimos, kuting.";"uzb"
"plateNo and codeWord are required";"Davlat raqami va kod so'z majburiy";"uzb"


"Booking already cancelled";;"en"
"Booking are allowed";;"en"
"Booking cancelled successfully";;"en"
"Booking date cannot be in the past";;"en"
"Booking date is required";;"en"
"Booking not found";;"en"
"Booking time is required";;"en"
"Booking with this number and code word was not found";;"en"
"CCP id is required";;"en"
"CCP not found for requisite:";;"en"
"CCP not found:";;"en"
"Date parameter is required";;"en"
"Id and codeWord are required";;"en"
"Invalid code word";;"en"
"Invalid date format, expected yyyy-MM-dd";;"en"
"Invalid date format. Use dd.MM.yyyy";;"en"
"Plate number is required for live queue";;"en"
"Requisite has no linked booking or registration";;"en"
"Requisite not found:";;"en"
"This vehicle is located in the waiting area";;"en"
"Vehicle already in waiting zone cannot use timed queue booking";;"en"
"Vehicle must be physically present in the waiting zone to use live queue booking";;"en"
"You have already created a booking recently. Please wait.";;"en"
"plateNo and codeWord are required";;"en"